Row Labels,EZ 1,EZ 2,post plasma_dried,pre plasma
PHOSPHOENOLPYRUVATE_pos_2,223000,72960,87910,102400
PHOSPHORIBOSYL PYROPHOSPHATE_neg_1,2043,714.5,2059,1474
PHOSPHORYLCHOLINE_pos_1,4141000,3970000,2629000,4647000
PHOSPHOSERINE_pos_3,8394,12940,4484,14130
PIPECOLATE_pos_3,297200,620300,190700,606000
PROLINE_pos_1,60380000,80810000,43670000,103000000
PROPIONYL-COA_neg_1,536.6,0,0,503.8
PROPIONYL-COA_pos_1,0,0,4670,0
PURINE_pos_1,0,0,2073,0
PUTRESCINE_pos_1,2593000,3816000,872900,369600
PYRIDOXAMINE_pos_1,2893,1605,3487,1743
PYRIDOXINE_pos_1,234700,7176,0,17480
PYROGLUTAMIC ACID_neg_2,23990,20290,193500,80620
PYROGLUTAMIC ACID_pos_2,119900,194500,134200,382100
PYROPHOSPHATE_neg_3,2317,4143,6418,9395
PYRUVIC ACID_neg_1,44860,51660,49420,45280
RIBOFLAVIN_neg_1,631100,122800,11610,9355
RIBOFLAVIN_pos_1,3703000,771700,45450,30100
RIBULOSE 5-PHOSPHATE_neg_2,37480,270500,72900,593000
S-ADENOSYLHOMOCYSTEINE_neg_1,42360,38200,850.9,13460
S-ADENOSYLHOMOCYSTEINE_pos_1,133900,250400,27300,14570
S-ADENOSYLMETHIONINE_pos_1,66980,122100,12150,109700
SARCOSINE_pos_1,783600,850500,2289000,4324000
SERINE_pos_2,849500,371300,1322000,4142000
Serotonin,5995,12190,11260,32880
Serotonin_1,2238000,2170000,1829000,4188000
SPERMIDINE_pos_2,60890,61260,9553,23660
SPERMIDINE_pos_4,40630,152600,0,0
SPERMINE_pos_2,86070,72180,21990,0
SUCCINATE_neg_1,91460,225700,189200,158500
SUCCINYL-COA_pos_1,1366,0,0,1209
SYMMETRIC DIMETHYLARGININE_neg_2,9788,6653,1550,21770
SYMMETRIC DIMETHYLARGININE_pos_1,3551000,2895000,2123000,5211000
TAURINE_neg_1,4502000,8773000,178600,4450000
TETRADECANEDIOIC ACID_neg_2,563100,1577000,560200,590500
TETRADECANEDIOIC ACID_pos_1,0,1339000,0,474900
THIAMINE MONOPHOSPHATE_pos_1,20450,5870,1172,601.4
THIAMINE PYROPHOSPHATE_neg_2,0,472,389.7,0
THIAMINE PYROPHOSPHATE_pos_1,3360,7549,6718,419.6
THIAMINE_pos_2,0,0,0,3891
THREONINE_pos_1,1827000,856800,2248000,5144000
THYMIDINE_neg_2,37270,3901,32460,8274
THYMIDINE_pos_1,49630,82680,36160,160400
THYMINE_pos_1,51480,31580,43070,55130
TRANS-4-HYDROXY-L-PROLINE_pos_2,501000,288200,154000,289300
TRANS-ACONITATE_neg_1,32600,274300,66950,76310
TRIAMCINOLONE ACETONIDE,26530,73010,73850,13230
TRYPTOPHAN_neg_1,0,0,0,0
TRYPTOPHAN_pos_1,5335000,4476000,7344000,0
TRYPTOPHANOL_pos_2,5396,7106,9169,8166
TYROSINE_pos_1,95550000,114900000,53250000,58560000
URACIL_pos_2,238800,219900,266000,335900
UREA_pos_1,9086000,8863000,9050000,14730000
UREIDOPROPIONIC ACID_neg_1,377200,2107000,221800,1584000
UREIDOPROPIONIC ACID_pos_2,381900,131200,313300,518800
UREIDOSUCCINIC ACID_neg_2,1812,1443,7881,16260
UREIDOSUCCINIC ACID_pos_4,16410,34810,25470,12510
URIDINE 5,15410,24630,52180,3318
URIDINE 5_1,19330,8065,18770,3554
URIDINE DIPHOSPHATE GLUCOSE_neg_2,0,0,38440,0
URIDINE TRIPHOSPHATE_neg_1,330000,806500,208900,208700
URIDINE TRIPHOSPHATE_pos_1,875,0,4105,374.7
URIDINE_neg_2,449000,467800,127200,224000
URIDINE_pos_1,0,74670,10460,0
VALINE_pos_2,7761000,24640000,7836000,33860000
VMA,4982,3899,320700,861400
XANTHOSINE_neg_1,296700,312800,11200,198700
XANTHOSINE_pos_1,4776,4271,2777,2035
XANTHURENIC ACID_neg_1,1156,0,5327,3739
XANTHURENIC ACID_pos_2,168200,341400,164500,4490
XANTHYLIC ACID_neg_2,6031,4865,670.5,1899
XANTHYLIC ACID_pos_2,59540,55070,1540,33530
